id,nombre_completo,edad,provincia,nivel_educativo,horas_estudio_semana,asistencia_%,internet_en_casa,nivel_socioeconomico,promedio_final
1214,Paula Marqués Amat,18,Chimborazo,Bachillerato,35,96.0,True,Bajo,7.57
1215,Calista Pombo-Piñol,22,Guayas,Bachillerato,26,95.5,True,Alto,6.42
1216,Sarita Martin Vargas,24,Manabi,Secundaria,23,58.0,False,Bajo,5.68
1217,Julieta Arcelia Gálvez Manzano,16,Manabi,Bachillerato,0,72.0,False,Alto,3.77
1218,Apolinar Luis Ángel Falcón Vizcaíno,17,Manabi,Bachillerato,3,77.6,False,Bajo,4.96
1219,Emilio Marciano Álamo Guerra,25,Tungurahua,Bachillerato,34,50.7,False,Medio,4.37
1220,Gonzalo Martin Paniagua,22,Esmeraldas,Secundaria,27,50.9,True,Medio,4.4
1221,Maximino Ferrándiz Jordán,24,Pichincha,Bachillerato,10,91.1,True,Medio,5.51
1222,Primitivo Quevedo Cerdá,19,Guayas,Secundaria,26,60.6,False,Alto,5.23
1223,Verónica del Vázquez,15,Esmeraldas,Secundaria,6,78.0,True,Medio,4.59
1224,Nilda Rodríguez-Olmo,25,Pichincha,Bachillerato,23,94.9,False,Bajo,5.26
1225,Mar Valera Gelabert,15,Pichincha,Bachillerato,14,79.3,False,Medio,4.32
1226,Griselda Báez Lozano,22,Chimborazo,Bachillerato,13,65.6,False,Bajo,4.82
1227,Bautista Ale Santiago Talavera,17,Loja,Bachillerato,34,54.1,True,Medio,5.54
1228,Trini Roldan Sevillano,19,Loja,Bachillerato,18,74.4,True,Bajo,4.95
1229,Edgardo Alcides Guardia Solsona,23,Chimborazo,Bachillerato,8,54.1,False,Alto,3.59
1230,Martirio Crespi Carreras,23,Manabi,Bachillerato,25,68.0,True,Medio,4.99
1231,Loreto de Hoz,18,Tungurahua,Bachillerato,27,50.4,False,Alto,4.94
1232,Leopoldo Carranza Santamaria,22,Esmeraldas,Secundaria,10,52.9,False,Bajo,4.09
1233,Verónica Carreño Mateu,20,Manabi,Secundaria,9,77.8,True,Alto,3.79
1234,Osvaldo Marin Grande,23,Tungurahua,Secundaria,27,73.1,False,Medio,4.85
1235,Isaura Benitez Palomino,25,Manabi,Bachillerato,28,59.0,True,Alto,5.3
1236,Amando Bru-Escamilla,24,Loja,Bachillerato,6,86.0,False,Alto,4.79
1237,Joaquín Macías Navas,16,Chimborazo,Secundaria,24,53.5,True,Bajo,3.04
1238,Bienvenida Sanz Corbacho,21,Chimborazo,Bachillerato,26,96.0,True,Bajo,6.61
1239,Miriam Graciana Tudela Blanes,21,Guayas,Bachillerato,20,58.1,True,Bajo,4.91
1240,Moreno Giner-Lobo,20,Esmeraldas,Bachillerato,29,81.9,True,Bajo,5.29
1241,Bartolomé Corral Coloma,21,Loja,Secundaria,35,72.8,True,Alto,6.16
1242,José Manuel Garcés Hervia,16,Loja,Secundaria,17,71.9,False,Alto,4.69
1243,Prudencia Mariscal-Dalmau,22,Tungurahua,Bachillerato,16,85.7,False,Bajo,4.68
1244,Bernardo Becerra Farré,25,Manabi,Secundaria,11,53.3,True,Medio,3.27
1245,Georgina Pelayo,16,Loja,Secundaria,21,90.9,True,Medio,5.07
1246,Roberta Alcántara-Roselló,19,Pichincha,Secundaria,39,86.4,True,Alto,6.36
1247,Benjamín Artigas González,19,Chimborazo,Secundaria,20,97.5,False,Medio,5.87
1248,Reynaldo Cervantes Lumbreras,24,Manabi,Secundaria,24,93.5,False,Medio,5.83
1249,Cruz Roura Peral,15,Esmeraldas,Secundaria,30,73.2,True,Bajo,5.45
1250,Pía López Llamas,22,Pichincha,Bachillerato,11,86.9,False,Alto,4.97
1251,Rosario Berenguer Pellicer,21,Loja,Secundaria,1,67.0,False,Bajo,2.28
1252,Blas Enríquez-Esparza,25,Guayas,Bachillerato,30,50.4,False,Alto,4.66
1253,Reina Malena Rosa Rocha,21,Pichincha,Bachillerato,30,62.3,False,Bajo,4.51
1254,Eloy Quirós Montesinos,24,Loja,Bachillerato,13,99.7,False,Bajo,6.14
1255,Valentina Casanovas Cámara,15,Chimborazo,Secundaria,30,64.5,True,Medio,5.19
1256,Roque Ramón Muñoz,25,Guayas,Secundaria,13,74.1,False,Alto,5.43
1257,Olegario Orozco,19,Loja,Secundaria,38,74.4,False,Bajo,5.72
1258,Nicolás Téllez Flor,23,Chimborazo,Secundaria,37,86.0,True,Alto,5.72
1259,Amor de Martinez,15,Pichincha,Secundaria,13,62.4,False,Bajo,3.34
1260,Aarón Vives Echevarría,18,Tungurahua,Secundaria,34,93.1,False,Alto,6.29
1261,Lope Vazquez Jara,18,Tungurahua,Secundaria,27,65.8,False,Bajo,5.28
1262,Dulce Salom Sebastián,17,Loja,Bachillerato,26,85.8,False,Bajo,4.32
1263,Rosa María Mendoza Serna,16,Chimborazo,Secundaria,33,97.0,False,Bajo,7.09
1264,Eloy Boix Blázquez,18,Chimborazo,Bachillerato,1,63.7,False,Bajo,3.93
1265,Rosario Fuente,25,Loja,Bachillerato,16,64.2,True,Alto,4.23
1266,Jose Ignacio Aguiló Pi,25,Tungurahua,Secundaria,33,53.8,False,Alto,3.9
1267,Seve del Pons,19,Manabi,Secundaria,13,67.9,True,Alto,5.46
1268,Marina Gisela Parejo Sanmiguel,22,Tungurahua,Secundaria,4,53.5,False,Bajo,3.8
1269,Hugo Villena Coronado,20,Manabi,Bachillerato,25,85.0,True,Alto,5.03
1270,Valero Lucena Méndez,21,Manabi,Bachillerato,18,91.2,False,Bajo,5.26
1271,Gerardo de Tur,25,Guayas,Secundaria,3,96.4,False,Bajo,5.78
1272,Margarita Abad Gomez,18,Loja,Secundaria,7,78.7,False,Bajo,5.37
1273,Pastor Lumbreras Crespo,25,Tungurahua,Bachillerato,33,95.5,False,Alto,7.23
1274,Emiliano Viña Cantero,22,Esmeraldas,Bachillerato,2,99.7,True,Alto,4.61
1275,Eloy Varela Arrieta,25,Tungurahua,Bachillerato,16,68.4,False,Alto,4.39
1276,Nieves Balaguer Puente,18,Esmeraldas,Secundaria,34,91.0,False,Alto,5.84
1277,Hermenegildo Enríquez Azcona,16,Pichincha,Secundaria,1,50.1,False,Alto,2.64
1278,Bárbara Criado Agudo,19,Loja,Bachillerato,3,52.3,False,Alto,3.48
1279,María Jesús Rivera Gárate,17,Manabi,Secundaria,17,77.5,False,Alto,4.74
1280,Agustín Vélez Cuervo,25,Tungurahua,Bachillerato,10,53.0,True,Bajo,4.35
1281,Gervasio Ródenas Morcillo,19,Esmeraldas,Bachillerato,25,72.8,True,Bajo,5.21
1282,Juanita Alfaro Franch,22,Esmeraldas,Bachillerato,17,83.4,True,Medio,5.1
1283,Yago Jesús Berrocal Parejo,16,Tungurahua,Bachillerato,5,55.5,True,Bajo,3.05
1284,Cleto Ordóñez,21,Pichincha,Bachillerato,19,96.8,False,Medio,6.07
1285,Tecla Gibert Aguilera,22,Tungurahua,Secundaria,3,66.0,False,Alto,3.79
1286,Calixto Amaya Luján,15,Manabi,Bachillerato,7,55.9,True,Medio,3.08
1287,Águeda Cabrera,21,Pichincha,Secundaria,29,76.1,False,Medio,4.66
1288,Hilda Morera Portillo,23,Tungurahua,Bachillerato,13,86.1,False,Medio,4.28
1289,Calista Paniagua-Vilar,22,Chimborazo,Secundaria,29,51.7,False,Bajo,4.61
1290,Teófila Hurtado Gonzalez,25,Esmeraldas,Bachillerato,2,79.8,True,Alto,3.24
1291,Bienvenida Lloret Lobo,24,Chimborazo,Bachillerato,10,51.7,False,Medio,3.98
1292,Jenny Pardo-Gárate,21,Manabi,Bachillerato,6,51.1,True,Bajo,2.75
1293,Heraclio Rocamora Feliu,23,Manabi,Bachillerato,6,88.3,False,Alto,5.89
1294,Íñigo Somoza Pou,18,Tungurahua,Secundaria,9,75.3,False,Bajo,4.51
1295,Florinda Vila Tamayo,23,Guayas,Secundaria,40,90.4,False,Bajo,7.38
1296,Cristóbal de Morillo,15,Pichincha,Secundaria,3,95.2,True,Bajo,3.82
1297,Porfirio Prada Ugarte,23,Tungurahua,Bachillerato,32,94.6,False,Alto,6.17
1298,Florentina Puente-Melero,24,Manabi,Secundaria,2,62.1,False,Medio,2.99
1299,Daniel Bárcena-Perera,17,Esmeraldas,Secundaria,26,70.4,False,Medio,5.07
1300,Malena Bayo Ibáñez,22,Esmeraldas,Secundaria,20,90.6,False,Alto,5.63
1301,Baudelio Maldonado Calvo,15,Loja,Bachillerato,2,66.4,True,Alto,3.25
1302,Bernardita Reina Arnaiz Garcés,17,Loja,Bachillerato,26,76.3,True,Medio,5.73
1303,Fermín de Gallart,22,Esmeraldas,Bachillerato,34,71.6,True,Bajo,4.59
1304,Montserrat Bauzà-Miró,16,Pichincha,Secundaria,31,77.8,False,Alto,5.75
1305,Andrés Felipe Clavero Ruiz,16,Pichincha,Bachillerato,16,85.9,False,Bajo,5.22
1306,Isa Abigaíl Cazorla Carpio,21,Chimborazo,Secundaria,38,65.9,False,Alto,5.37
1307,Josep Segismundo Figueras Ariza,18,Esmeraldas,Secundaria,18,53.0,True,Bajo,3.17
1308,Olalla Jenny Casanovas Tomas,16,Pichincha,Bachillerato,28,53.3,False,Bajo,4.88
1309,Teo del Canet,15,Guayas,Secundaria,24,99.3,True,Bajo,6.24
1310,Benigno Haro Guardia,25,Manabi,Secundaria,26,51.1,True,Medio,4.39
1311,Fabio Cuervo Mancebo,19,Esmeraldas,Secundaria,27,84.5,False,Alto,6.02
1312,Quique Mancebo Tovar,16,Manabi,Secundaria,5,90.6,False,Medio,4.86
1313,Timoteo Régulo Benítez Galvez,17,Esmeraldas,Bachillerato,30,68.7,False,Alto,5.78
1314,Charo Sales,17,Guayas,Secundaria,27,63.9,False,Medio,4.21
1315,Rosaura Mena Cid,19,Pichincha,Bachillerato,33,86.7,False,Alto,6.03
1316,Rosenda Merino Armas,17,Esmeraldas,Secundaria,8,52.3,False,Medio,3.31
1317,Jeremías Castro Álvaro,22,Loja,Bachillerato,39,78.1,True,Bajo,5.9
1318,Amancio Prada Arribas,24,Pichincha,Bachillerato,25,72.1,True,Medio,5.47
1319,Erasmo Peláez Barragán,20,Pichincha,Bachillerato,37,79.9,False,Bajo,5.48
1320,Aníbal Gervasio Gabaldón Gallart,20,Guayas,Secundaria,23,90.8,True,Alto,5.29
1321,Bernarda Salmerón Castillo,16,Loja,Secundaria,17,69.3,False,Alto,5.12
1322,Samu Bernardo Cisneros Ferrer,20,Chimborazo,Secundaria,38,64.2,False,Alto,5.03
1323,Guadalupe Laguna,15,Guayas,Bachillerato,22,87.9,True,Alto,5.43
1324,Roxana de Vilaplana,23,Pichincha,Secundaria,22,55.2,False,Bajo,4.0
1325,Eugenio Rico Vizcaíno Parejo,24,Chimborazo,Bachillerato,34,66.1,False,Alto,6.27
1326,Encarnita Trillo Ángel,18,Manabi,Secundaria,4,85.2,False,Alto,4.64
1327,Natalio Blázquez Boix,24,Manabi,Bachillerato,9,57.3,True,Bajo,3.18
1328,Prudencia Amigó Sales,15,Guayas,Secundaria,40,64.2,True,Alto,5.84
1329,Evaristo del Almeida,16,Tungurahua,Secundaria,23,93.6,False,Bajo,5.94
1330,Guiomar Giralt Sanjuan,19,Tungurahua,Bachillerato,23,90.9,True,Bajo,5.56
1331,Adelina Ibañez Carpio,15,Guayas,Secundaria,16,89.8,True,Medio,5.57
1332,Isaías Jerez Arenas,23,Tungurahua,Bachillerato,10,86.1,False,Bajo,4.77
1333,Sebastian Figueras Yáñez,17,Chimborazo,Secundaria,12,77.4,False,Alto,5.59
1334,Roxana Benet-Nogués,17,Chimborazo,Bachillerato,6,72.8,True,Bajo,3.78
1335,Judith Durán-Morell,19,Pichincha,Secundaria,4,77.3,True,Alto,4.1
1336,Manu Diaz-Llano,24,Tungurahua,Bachillerato,39,53.6,False,Alto,5.6
1337,Ruy Rey Santamaría,18,Tungurahua,Bachillerato,11,60.1,False,Alto,4.37
1338,Teresita Iglesia Exposito,25,Manabi,Secundaria,8,83.4,False,Bajo,5.21
1339,Ofelia Huguet Jerez,24,Manabi,Secundaria,0,67.9,False,Medio,3.99
1340,Enrique Vilanova Gomez,24,Manabi,Secundaria,29,70.3,True,Medio,4.6
1341,Carla Larrea-Tapia,23,Manabi,Secundaria,0,92.7,True,Alto,4.38
1342,Teobaldo Sáenz Valle,19,Manabi,Bachillerato,23,90.9,False,Alto,5.19
1343,Etelvina Mayo Benavides,19,Pichincha,Secundaria,3,50.7,True,Medio,3.71
1344,Manuel Llano Barreda,24,Guayas,Secundaria,0,67.3,True,Alto,3.95
1345,Íñigo de Chacón,19,Chimborazo,Bachillerato,9,99.8,True,Alto,4.99
1346,Maxi Ríos Báez,17,Pichincha,Bachillerato,29,88.5,True,Alto,5.62
1347,Maricruz Mascaró Casas,20,Esmeraldas,Bachillerato,36,63.2,False,Alto,5.29
1348,Lina Castells Alonso,17,Loja,Secundaria,21,73.4,False,Medio,5.64
1349,David Canet Zamorano,15,Manabi,Secundaria,39,72.2,False,Alto,6.07
1350,Miguel del Medina,19,Loja,Secundaria,0,77.6,False,Bajo,4.1
1351,Carolina Águila-Tello,18,Loja,Bachillerato,18,74.5,False,Bajo,4.72
1352,Adriana Villegas Rodrigo,15,Loja,Bachillerato,11,56.0,True,Medio,2.69
1353,Quirino Rocamora Marí,18,Manabi,Bachillerato,24,95.6,True,Bajo,5.17
1354,Elodia Ramos-Arteaga,21,Tungurahua,Secundaria,32,78.1,False,Bajo,5.82
1355,Leire Leon Higueras,21,Tungurahua,Secundaria,21,96.1,True,Medio,5.29
1356,Jose Manuel Raya Luís,25,Tungurahua,Bachillerato,13,82.0,False,Medio,4.97
1357,Pacífica de Fajardo,25,Guayas,Bachillerato,37,57.1,True,Medio,4.47
1358,Adrián Gabino Gascón Roselló,24,Tungurahua,Bachillerato,21,98.2,True,Medio,6.2
1359,Marisela Franch Muro,25,Chimborazo,Bachillerato,19,54.0,True,Alto,4.26
1360,Abel Yáñez Mercader,15,Chimborazo,Secundaria,39,67.7,True,Bajo,5.0
1361,Vinicio del Pinedo,16,Chimborazo,Secundaria,29,94.9,False,Bajo,6.74
1362,Elisabet de Marí,24,Loja,Secundaria,17,55.5,False,Alto,3.38
1363,Odalis Victoria Tur Vázquez,24,Manabi,Bachillerato,38,59.6,False,Medio,5.43
1364,Nilo Carnero-Noguera,23,Pichincha,Bachillerato,39,77.0,True,Bajo,5.71
1365,Felicidad Cruz Pedraza Lorenzo,20,Esmeraldas,Secundaria,8,89.2,False,Alto,5.73
1366,Juan Manuel Botella Gutierrez,22,Manabi,Bachillerato,28,98.7,True,Bajo,6.05
1367,Evelia Gonzalez Ferrándiz,17,Loja,Secundaria,12,92.7,True,Medio,4.8
1368,Amado Huertas Acosta,18,Chimborazo,Secundaria,17,89.3,False,Medio,5.81
1369,Cristina Marcos,23,Esmeraldas,Secundaria,27,90.6,True,Medio,6.16
1370,Valentina Roma-Figueroa,23,Guayas,Secundaria,25,96.8,True,Medio,6.16
1371,Cecilia Castilla Acevedo,19,Loja,Secundaria,24,82.2,False,Medio,5.04
1372,Fausto Catalá Gámez,18,Loja,Secundaria,30,83.8,False,Bajo,6.25
1373,Maite Manzanares Leiva,24,Guayas,Secundaria,31,78.3,True,Bajo,5.31
1374,Tania Alegre Royo,15,Pichincha,Bachillerato,28,57.5,False,Alto,5.41
1375,Benito Salcedo-Salmerón,25,Manabi,Bachillerato,36,67.4,True,Alto,5.76
1376,Quirino Oliveras Molina,22,Guayas,Bachillerato,28,87.5,False,Alto,5.67
1377,Andrés Murillo-Seco,23,Chimborazo,Secundaria,0,59.7,True,Bajo,4.02
1378,Almudena Simó Querol,19,Chimborazo,Bachillerato,38,50.4,False,Bajo,5.57
1379,Loreto Sanchez Hurtado,22,Chimborazo,Bachillerato,24,96.3,False,Medio,6.16
1380,Maximino Martínez Garmendia,22,Tungurahua,Bachillerato,30,99.8,False,Bajo,6.02
1381,Narciso Pedraza Jover,16,Guayas,Secundaria,36,71.6,True,Alto,5.52
1382,Jose Ramón Sabater Bosch,16,Loja,Secundaria,28,60.6,True,Medio,4.93
1383,Patricio Serrano Acedo,16,Chimborazo,Secundaria,10,81.9,True,Bajo,5.03
1384,Fernanda Valero Rocamora,24,Chimborazo,Bachillerato,30,67.3,True,Medio,5.03
1385,Lino Oller,19,Esmeraldas,Bachillerato,2,87.8,True,Medio,4.38
1386,Valentín del Vega,23,Pichincha,Secundaria,14,87.9,False,Bajo,5.12
1387,Bonifacio Valcárcel,21,Pichincha,Secundaria,38,91.7,False,Bajo,6.89
1388,Perlita Cifuentes-Jara,22,Guayas,Secundaria,22,84.4,False,Medio,5.56
1389,Asdrubal Vilar Carrasco,15,Manabi,Secundaria,16,51.2,False,Bajo,3.63
1390,Buenaventura Mayol Galván,20,Manabi,Bachillerato,15,65.3,False,Medio,5.0
1391,Cornelio Taboada Roman,20,Manabi,Bachillerato,0,75.3,True,Bajo,4.04
1392,Tomás Aroca Barral,21,Chimborazo,Bachillerato,38,63.9,False,Bajo,5.83
1393,Arsenio Santana Sans,21,Loja,Bachillerato,14,82.3,False,Medio,5.3
1394,Cleto Gerardo Polo Rocamora,21,Tungurahua,Secundaria,5,60.5,True,Alto,3.14
1395,Domitila Reguera Tejada,19,Tungurahua,Secundaria,18,50.3,False,Medio,3.15
1396,Chelo Tamarit Carvajal,22,Esmeraldas,Bachillerato,3,65.1,True,Medio,4.55
1397,Emelina Valenzuela Pons,20,Tungurahua,Bachillerato,19,79.4,True,Medio,4.83
1398,Cipriano Alsina-Agullo,18,Tungurahua,Bachillerato,28,75.4,True,Alto,4.64
1399,Lara Marí Asenjo,21,Guayas,Bachillerato,33,50.7,True,Bajo,4.97
1400,Chema Amores Monreal,24,Esmeraldas,Bachillerato,18,90.9,True,Bajo,5.65
1401,Isaura Artigas Calatayud,15,Pichincha,Bachillerato,4,95.6,False,Medio,4.81
1402,Fortunato Mesa Polo,23,Chimborazo,Secundaria,5,81.0,False,Alto,4.24
1403,Martín Villalobos Jáuregui,19,Guayas,Secundaria,20,95.6,False,Alto,5.42
1404,Felipa Gilabert Caparrós,23,Pichincha,Bachillerato,33,50.0,False,Bajo,4.65
1405,Custodio Medina,18,Guayas,Bachillerato,8,92.7,True,Bajo,4.93
1406,Nayara del Iriarte,21,Loja,Secundaria,28,91.0,False,Medio,5.49
1407,Rafaela Pardo,16,Loja,Bachillerato,8,56.0,True,Bajo,4.39
1408,Lázaro de Villanueva,17,Pichincha,Secundaria,14,99.5,False,Alto,5.4
1409,Cayetana Naranjo-Oliva,23,Tungurahua,Bachillerato,3,70.8,True,Alto,4.07
1410,Filomena Morell Blanco,25,Pichincha,Secundaria,37,97.5,False,Alto,6.47
1411,Rafael Alvarado Izquierdo,22,Guayas,Bachillerato,15,81.5,False,Bajo,5.2
1412,Sabas Manuel Serrano,21,Manabi,Secundaria,32,89.1,False,Alto,6.02
1413,Dalila Estévez Iniesta,23,Tungurahua,Secundaria,37,87.3,True,Bajo,6.6
1414,Amado Prieto Antúnez,25,Guayas,Secundaria,29,62.5,False,Bajo,5.02
1415,Isaura Soria Company,18,Chimborazo,Bachillerato,4,50.6,False,Alto,2.29
1416,Maxi Araujo,25,Chimborazo,Bachillerato,39,92.1,True,Alto,6.89
1417,Nilda Virginia Abascal Alberto,15,Pichincha,Bachillerato,37,60.4,False,Bajo,6.27
1418,Marcio Villa,20,Loja,Secundaria,16,89.6,False,Alto,4.92
1419,Paola Agullo Acuña,15,Pichincha,Bachillerato,8,91.8,False,Alto,5.43
1420,Hipólito Perelló,15,Esmeraldas,Secundaria,21,52.5,False,Alto,4.15
1421,Tatiana Báez Lumbreras,17,Tungurahua,Secundaria,38,55.6,False,Bajo,5.07
1422,Mirta Torrents Cabanillas,17,Loja,Secundaria,27,90.4,False,Medio,6.22
1423,Leonor Torrijos Tomé,16,Manabi,Secundaria,26,70.3,False,Bajo,5.0
1424,Patricia Ruiz Cid,23,Pichincha,Bachillerato,40,61.0,False,Medio,5.88
1425,Porfirio Casal Segarra,21,Loja,Secundaria,5,63.3,True,Alto,3.35
1426,Rómulo Carrera Esteve,25,Pichincha,Bachillerato,15,57.4,False,Alto,3.61
1427,Almudena Hernandez Giner,24,Tungurahua,Bachillerato,11,98.1,True,Medio,5.93
1428,Cesar del Saavedra,21,Manabi,Bachillerato,12,74.4,False,Medio,3.29
1429,Paula Ferrando Chacón,21,Guayas,Bachillerato,21,74.2,True,Alto,5.67
1430,Francisca Ramirez Alcalá,19,Tungurahua,Bachillerato,32,90.3,False,Alto,6.19
1431,Roberto Ribas-Vaquero,15,Manabi,Secundaria,14,87.8,True,Bajo,5.16
1432,Omar Acuña-Dávila,16,Manabi,Bachillerato,20,73.4,True,Alto,3.83
1433,Rita Barceló,17,Manabi,Secundaria,17,97.8,True,Bajo,5.49
1434,Victor Vicente Valverde,22,Manabi,Secundaria,25,58.7,False,Medio,3.98
1435,Octavia Heras Girona,17,Esmeraldas,Bachillerato,23,96.6,True,Bajo,5.59
1436,Julia Paniagua Arias,22,Manabi,Bachillerato,26,68.6,False,Bajo,4.75
1437,Estrella Casares Camino,21,Manabi,Secundaria,6,61.3,True,Medio,4.25
1438,Alfredo Palacio,17,Loja,Secundaria,22,81.3,True,Alto,5.0
1439,Benigna Zapata Lozano,24,Chimborazo,Bachillerato,31,65.3,False,Medio,5.26
1440,Cosme Oliveras Palacios,24,Loja,Bachillerato,17,79.7,True,Bajo,4.37
1441,Julio Morillo-Agustí,17,Loja,Bachillerato,22,51.1,True,Medio,4.24
1442,Cecilia de Milla,22,Tungurahua,Bachillerato,21,82.3,False,Medio,5.83
1443,Rosaura Merino Losada,22,Loja,Bachillerato,7,63.5,False,Bajo,3.94
1444,Saturnina Carlos Terrón,18,Loja,Secundaria,23,74.1,False,Alto,5.27
1445,Xiomara Egea-Rios,24,Esmeraldas,Bachillerato,11,53.0,False,Alto,4.1
1446,Gabino Aguiló-Fabregat,16,Pichincha,Bachillerato,18,56.1,True,Alto,4.04
1447,Abel Tejero,19,Pichincha,Bachillerato,5,67.4,False,Alto,3.49
1448,Marco Gracia Sevilla,24,Chimborazo,Secundaria,28,64.9,True,Medio,5.93
1449,Teodoro Tapia Bermejo,20,Chimborazo,Bachillerato,17,60.7,True,Bajo,4.62
1450,Abilio Larrea,16,Esmeraldas,Secundaria,2,68.9,False,Alto,3.85
1451,Marino Rosa Ayllón,25,Guayas,Secundaria,18,97.2,True,Medio,5.69
1452,María Espinosa,18,Tungurahua,Bachillerato,32,94.6,False,Bajo,5.21
1453,Jessica Pomares Miranda,17,Guayas,Secundaria,15,67.4,False,Medio,4.28
1454,Abel Guerrero Barrena,16,Pichincha,Bachillerato,32,57.0,True,Medio,4.25
1455,Juan Francisco Carbó Ureña,22,Chimborazo,Bachillerato,18,60.9,True,Bajo,4.63
1456,Amaro Fabio Martín Pérez,24,Tungurahua,Bachillerato,39,84.3,True,Bajo,6.16
1457,Ximena Guijarro Peñas,15,Loja,Secundaria,6,68.0,False,Bajo,4.3
1458,Rosario Blasco-Dominguez,17,Esmeraldas,Bachillerato,34,51.2,False,Medio,4.07
1459,Estefanía Coll Checa,21,Esmeraldas,Bachillerato,36,91.5,True,Alto,5.88
1460,Adora Ferreras-Carballo,18,Pichincha,Secundaria,32,57.1,False,Alto,4.56
1461,Ani Casanova Hernando,21,Esmeraldas,Bachillerato,32,61.1,True,Alto,5.12
1462,Nazaret Giralt-Marco,21,Tungurahua,Secundaria,5,50.2,False,Bajo,4.78
1463,Noa Enríquez Santamaría,16,Chimborazo,Secundaria,19,83.5,True,Bajo,4.34
1464,Socorro Rosalinda Somoza Quevedo,15,Manabi,Bachillerato,7,95.3,True,Medio,5.4
1465,Diana Cantón Gonzalo,20,Tungurahua,Bachillerato,6,76.5,True,Medio,4.16
1466,Ernesto Echeverría Barros,15,Esmeraldas,Bachillerato,3,74.1,False,Alto,4.16
1467,Carlos Andres Casanovas,23,Guayas,Secundaria,36,61.2,False,Medio,5.22
1468,Pilar Sierra Sola,25,Guayas,Secundaria,8,65.5,False,Medio,3.69
1469,Cintia de Pinilla,24,Tungurahua,Secundaria,20,63.3,True,Bajo,5.05
1470,Régulo Acuña Arregui,19,Guayas,Bachillerato,23,68.0,False,Alto,4.65
1471,Araceli Quesada Villaverde,22,Tungurahua,Bachillerato,29,61.0,True,Alto,5.6
1472,Pilar Garrido Pujol,15,Tungurahua,Bachillerato,17,89.7,True,Medio,5.4
1473,Ruben Romero Aznar,25,Manabi,Bachillerato,2,54.5,True,Alto,3.34
1474,Etelvina Saldaña Franch,21,Esmeraldas,Secundaria,21,77.7,False,Alto,4.2
1475,Fortunata Albero-Torre,16,Loja,Bachillerato,40,87.5,False,Medio,5.29
1476,Alba Carbonell Iriarte,25,Pichincha,Secundaria,15,65.4,False,Medio,4.1
1477,Paulino Valenciano-Mate,15,Manabi,Bachillerato,38,70.7,True,Bajo,5.42
1478,Miguela Almazán Molina,22,Chimborazo,Secundaria,9,70.0,True,Medio,3.45
1479,Luz Llopis Elorza,22,Manabi,Secundaria,34,69.3,True,Alto,5.23
1480,Domingo Bernat-Solera,25,Tungurahua,Secundaria,11,65.3,True,Bajo,3.73
1481,Encarnación Galiano Barroso,18,Tungurahua,Secundaria,40,88.2,False,Alto,6.61
1482,Ainara Casas,23,Guayas,Bachillerato,22,61.5,False,Medio,4.24
1483,Guiomar Mármol Ferrán,16,Manabi,Secundaria,4,82.3,True,Bajo,3.47
1484,María Jesús Fernández Gámez,23,Tungurahua,Bachillerato,21,93.4,True,Bajo,5.69
1485,Juan Luis de Santana,22,Tungurahua,Secundaria,2,64.7,True,Medio,4.25
1486,Nico Zamora Alvarez,19,Guayas,Bachillerato,8,93.8,True,Alto,5.24
1487,Poncio Agustín Fajardo,16,Manabi,Bachillerato,20,95.8,True,Medio,4.92
1488,Manola Rosado Rozas,15,Chimborazo,Secundaria,27,67.6,True,Medio,5.15
1489,Narciso Cerro Soriano,24,Esmeraldas,Secundaria,5,77.3,False,Medio,4.51
1490,Alejandra Clemente Palomo,19,Chimborazo,Secundaria,28,70.1,True,Medio,4.82
1491,Elodia Pellicer Agullo,25,Chimborazo,Secundaria,37,61.1,True,Bajo,5.09
1492,Anabel Elba Torre Barragán,22,Loja,Secundaria,37,66.7,True,Medio,4.87
1493,Ignacio Morera Almagro,17,Esmeraldas,Secundaria,15,60.4,True,Bajo,4.21
1494,Eva María Cruz Ledesma,22,Tungurahua,Secundaria,31,65.1,True,Alto,5.53
1495,Demetrio Bautista Jimenez Mena,16,Pichincha,Bachillerato,40,76.1,True,Medio,5.31
1496,Porfirio Diego-Borrell,21,Manabi,Bachillerato,27,54.3,False,Medio,4.78
1497,Fanny Zabala Fuertes,21,Loja,Bachillerato,21,55.9,True,Alto,4.27
1498,Emigdio Garriga,24,Pichincha,Bachillerato,29,80.0,True,Alto,4.57
1499,Constanza Perea Pizarro,20,Esmeraldas,Secundaria,39,67.4,False,Bajo,5.83
1500,Juan José del Juárez,15,Guayas,Bachillerato,19,93.8,True,Bajo,5.91
1501,Eulalia Castejón Godoy,15,Tungurahua,Secundaria,23,59.9,False,Medio,3.78
1502,Viviana Catalán Estévez,16,Guayas,Secundaria,34,78.2,True,Bajo,6.54
1503,María Carmen Adriana Cárdenas Leal,23,Guayas,Secundaria,31,94.4,True,Bajo,6.46
1504,Jennifer Zabaleta,25,Pichincha,Bachillerato,33,62.2,True,Medio,5.91
1505,Matías Villar Girona,25,Tungurahua,Bachillerato,30,76.9,False,Medio,5.05
1506,Francisco Jose Rosselló Morante,16,Guayas,Secundaria,11,92.3,False,Alto,5.19
1507,Marisela Almansa Caro,21,Manabi,Bachillerato,34,71.6,True,Alto,5.63
1508,Néstor Ibarra Menendez,21,Pichincha,Secundaria,5,61.7,True,Medio,3.43
